date,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow
2023-05-04,0.0,13.06,-0.006059,0.0,0.0,0.0
2023-05-05,1000.0,12.57,-0.03714,1000.0,1000.0,0.0
2023-05-08,0.0,12.57,9.5e-05,1000.0,0.0,0.0
2023-05-09,0.0,13.75,0.093552,1000.0,0.0,0.0
2023-05-10,0.0,14.33,0.041865,1000.0,0.0,0.0
2023-05-11,0.0,15.11,0.054345,1000.0,0.0,0.0
2023-05-12,0.0,15.31,0.013551,1000.0,0.0,0.0
2023-05-15,0.0,15.3,-0.000758,1000.0,0.0,0.0
2023-05-16,0.0,16.21,0.05943,1000.0,0.0,0.0
2023-05-17,0.0,15.82,-0.023643,1000.0,0.0,0.0
2023-05-18,0.0,14.86,-0.060962,1000.0,0.0,0.0
2023-05-19,0.0,14.73,-0.008762,1000.0,0.0,0.0
2023-05-22,0.0,14.57,-0.01091,1000.0,0.0,0.0
2023-05-23,0.0,14.32,-0.016967,1000.0,0.0,0.0
2023-05-24,0.0,14.32,0.000175,1000.0,0.0,0.0
2023-05-25,0.0,14.7,0.025886,1000.0,0.0,0.0
2023-05-26,0.0,14.64,-0.003933,1000.0,0.0,0.0
2023-05-30,0.0,14.83,0.0135,1000.0,0.0,0.0
2023-05-31,0.0,14.79,-0.003276,1000.0,0.0,0.0
2023-06-01,0.0,15.51,0.04912,1000.0,0.0,0.0
2023-06-02,0.0,15.53,0.001257,1000.0,0.0,0.0
2023-06-05,0.0,14.15,-0.088771,1000.0,0.0,0.0
2023-06-06,0.0,14.88,0.051599,1000.0,0.0,0.0
2023-06-07,0.0,15.66,0.052225,1000.0,0.0,0.0
2023-06-08,0.0,15.65,-0.000926,1000.0,0.0,0.0
2023-06-09,0.0,17.38,0.110677,1000.0,0.0,0.0
2023-06-12,0.0,19.26,0.108205,1000.0,0.0,0.0
2023-06-13,0.0,19.92,0.034603,1000.0,0.0,0.0
2023-06-14,0.0,20.58,0.033034,1000.0,0.0,0.0
2023-06-15,0.0,21.23,0.031506,1000.0,0.0,0.0
2023-06-16,0.0,20.92,-0.014888,1000.0,0.0,0.0
2023-06-20,0.0,18.71,-0.105596,1000.0,0.0,0.0
2023-06-21,0.0,18.49,-0.011862,1000.0,0.0,0.0
2023-06-22,0.0,18.15,-0.018209,1000.0,0.0,0.0
2023-06-23,0.0,17.5,-0.035948,1000.0,0.0,0.0
2023-06-26,0.0,17.35,-0.00827,1000.0,0.0,0.0
2023-06-27,0.0,17.7,0.020108,1000.0,0.0,0.0
2023-06-28,0.0,18.04,0.018938,1000.0,0.0,0.0
2023-06-29,0.0,19.76,0.095867,1000.0,0.0,0.0
2023-06-30,0.0,20.83,0.054087,1000.0,0.0,0.0
2023-07-03,0.0,19.59,-0.059462,1000.0,0.0,0.0
2023-07-05,0.0,18.54,-0.053729,1000.0,0.0,0.0
2023-07-06,0.0,18.35,-0.010188,1000.0,0.0,0.0
2023-07-07,0.0,18.75,0.021495,1000.0,0.0,0.0
2023-07-10,0.0,18.4,-0.018536,1000.0,0.0,0.0
2023-07-11,0.0,18.17,-0.01237,1000.0,0.0,0.0
2023-07-12,0.0,18.48,0.017136,1000.0,0.0,0.0
2023-07-13,0.0,18.96,0.025536,1000.0,0.0,0.0
2023-07-14,0.0,19.61,0.034359,1000.0,0.0,0.0
2023-07-17,0.0,19.9,0.015189,1000.0,0.0,0.0
2023-07-18,0.0,19.59,-0.01571,1000.0,0.0,0.0
2023-07-19,0.0,19.64,0.002634,1000.0,0.0,0.0
2023-07-20,0.0,19.88,0.012121,1000.0,0.0,0.0
2023-07-21,0.0,19.67,-0.010723,1000.0,0.0,0.0
2023-07-24,0.0,19.65,-0.001037,1000.0,0.0,0.0
2023-07-25,0.0,19.83,0.009126,1000.0,0.0,0.0
2023-07-26,0.0,19.89,0.003359,1000.0,0.0,0.0
2023-07-27,0.0,20.41,0.026033,1000.0,0.0,0.0
2023-07-28,0.0,20.42,0.000544,1000.0,0.0,0.0
2023-07-31,0.0,20.11,-0.015482,1000.0,0.0,0.0
2023-08-01,0.0,20.13,0.001189,1000.0,0.0,0.0
2023-08-02,0.0,19.68,-0.022185,1000.0,0.0,0.0
2023-08-03,0.0,19.76,0.003947,1000.0,0.0,0.0
2023-08-04,0.0,19.86,0.005035,1000.0,0.0,0.0
2023-08-07,0.0,19.85,-0.000458,1000.0,0.0,0.0
2023-08-08,0.0,19.38,-0.023831,1000.0,0.0,0.0
2023-08-09,0.0,19.29,-0.004629,1000.0,0.0,0.0
2023-08-10,0.0,19.18,-0.005765,1000.0,0.0,0.0
2023-08-11,0.0,19.45,0.014313,1000.0,0.0,0.0
2023-08-14,0.0,19.38,-0.003974,1000.0,0.0,0.0
2023-08-15,0.0,18.92,-0.02355,1000.0,0.0,0.0
2023-08-16,0.0,18.16,-0.039991,1000.0,0.0,0.0
2023-08-17,0.0,18.69,0.029065,1000.0,0.0,0.0
2023-08-18,0.0,18.58,-0.005741,1000.0,0.0,0.0
2023-08-21,0.0,18.32,-0.014104,1000.0,0.0,0.0
2023-08-22,0.0,18.12,-0.01108,1000.0,0.0,0.0
2023-08-23,0.0,17.98,-0.007357,1000.0,0.0,0.0
2023-08-24,0.0,18.08,0.005343,1000.0,0.0,0.0
2023-08-25,0.0,18.07,-0.000359,1000.0,0.0,0.0
2023-08-28,0.0,18.07,-0.000116,1000.0,0.0,0.0
2023-08-29,0.0,17.58,-0.027512,1000.0,0.0,0.0
2023-08-30,0.0,17.27,-0.017479,1000.0,0.0,0.0
2023-08-31,0.0,16.15,-0.064449,1000.0,0.0,0.0
2023-09-01,0.0,16.09,-0.003844,1000.0,0.0,0.0
2023-09-05,0.0,15.44,-0.040658,1000.0,0.0,0.0
2023-09-06,0.0,14.79,-0.042057,1000.0,0.0,0.0
2023-09-07,0.0,15.38,0.040083,1000.0,0.0,0.0
2023-09-08,0.0,15.03,-0.022884,1000.0,0.0,0.0
2023-09-11,0.0,14.58,-0.029953,1000.0,0.0,0.0
2023-09-12,0.0,14.34,-0.016523,1000.0,0.0,0.0
2023-09-13,0.0,14.6,0.018105,1000.0,0.0,0.0
2023-09-14,0.0,14.61,0.000582,1000.0,0.0,0.0
2023-09-15,0.0,15.96,0.092907,1000.0,0.0,0.0
2023-09-18,0.0,16.34,0.023759,1000.0,0.0,0.0
2023-09-19,0.0,16.9,0.034307,1000.0,0.0,0.0
2023-09-20,-900000.0,17.99,0.064321,-899000.0,0.0,-900000.0
2023-09-21,0.0,17.69,-0.016608,-899000.0,0.0,0.0
2023-09-22,0.0,18.17,0.027186,-899000.0,0.0,0.0
2023-09-25,0.0,17.42,-0.041472,-899000.0,0.0,0.0
2023-09-26,-825000.0,16.51,-0.052239,-1724000.0,0.0,-825000.0
2023-09-27,0.0,16.47,-0.002574,-1724000.0,0.0,0.0
2023-09-28,0.0,15.8,-0.040631,-1724000.0,0.0,0.0
2023-09-29,0.0,15.64,-0.009976,-1724000.0,0.0,0.0
2023-10-02,0.0,15.08,-0.035682,-1724000.0,0.0,0.0
2023-10-03,0.0,14.61,-0.031142,-1724000.0,0.0,0.0
