Date,Index,% Change
05-12-2007,"10,216",
06-12-2007,"10,142",-0.72%
07-12-2007,"10,068",-0.73%
10-12-2007,"9,992",-0.75%
11-12-2007,"9,929",-0.63%
12-12-2007,"9,936",0.07%
13-12-2007,"9,949",0.13%
14-12-2007,"9,918",-0.31%
17-12-2007,"9,848",-0.71%
18-12-2007,"9,751",-0.98%
19-12-2007,"9,591",-1.64%
20-12-2007,"9,392",-2.07%
21-12-2007,"9,236",-1.66%
24-12-2007,"9,143",-1.01%
02-01-2008,"8,891",-2.76%
03-01-2008,"8,756",-1.52%
04-01-2008,"8,702",-0.62%
07-01-2008,"8,732",0.34%
08-01-2008,"8,730",-0.02%
09-01-2008,"8,621",-1.25%
10-01-2008,"8,333",-3.34%
11-01-2008,"7,949",-4.61%
14-01-2008,"7,654",-3.71%
15-01-2008,"7,336",-4.15%
16-01-2008,"6,915",-5.74%
17-01-2008,"6,472",-6.41%
18-01-2008,"6,462",-0.15%
21-01-2008,"6,513",0.79%
22-01-2008,"6,437",-1.17%
23-01-2008,"6,246",-2.97%
24-01-2008,"5,948",-4.77%
25-01-2008,"5,780",-2.82%
28-01-2008,"5,692",-1.52%
29-01-2008,"5,615",-1.35%
30-01-2008,"5,900",5.08%
31-01-2008,"6,052",2.58%
01-02-2008,"6,134",1.35%
04-02-2008,"6,121",-0.21%
05-02-2008,"6,032",-1.45%
06-02-2008,"6,002",-0.50%
07-02-2008,"6,135",2.22%
08-02-2008,"6,353",3.55%
11-02-2008,"6,520",2.63%
12-02-2008,"6,712",2.94%
13-02-2008,"6,965",3.77%
14-02-2008,"7,212",3.55%
15-02-2008,"7,355",1.98%
18-02-2008,"7,381",0.35%
19-02-2008,"7,319",-0.84%
20-02-2008,"7,081",-3.25%
21-02-2008,"6,998",-1.17%
22-02-2008,"7,187",2.70%
25-02-2008,"7,296",1.52%
26-02-2008,"7,312",0.22%
27-02-2008,"7,299",-0.18%
28-02-2008,"7,332",0.45%
29-02-2008,"7,613",3.83%
03-03-2008,"7,878",3.48%
04-03-2008,"7,993",1.46%
05-03-2008,"8,162",2.11%
06-03-2008,"8,403",2.95%
07-03-2008,"8,536",1.58%
10-03-2008,"8,624",1.03%
11-03-2008,"8,560",-0.74%
12-03-2008,"8,346",-2.50%
13-03-2008,"8,092",-3.04%
14-03-2008,"7,972",-1.48%
17-03-2008,"7,913",-0.74%
18-03-2008,"7,893",-0.25%
19-03-2008,"7,801",-1.17%
20-03-2008,"7,684",-1.50%
25-03-2008,"7,619",-0.85%
26-03-2008,"7,679",0.79%
27-03-2008,"7,884",2.67%
28-03-2008,"8,069",2.35%
31-03-2008,"8,081",0.15%
01-04-2008,"7,890",-2.36%
02-04-2008,"7,655",-2.98%
03-04-2008,"7,690",0.46%
04-04-2008,"7,737",0.61%
07-04-2008,"7,741",0.05%
08-04-2008,"7,754",0.17%
09-04-2008,"7,760",0.08%
10-04-2008,"7,823",0.81%
11-04-2008,"7,889",0.84%
14-04-2008,"7,961",0.91%
15-04-2008,"7,957",-0.05%
16-04-2008,"7,967",0.13%
17-04-2008,"8,038",0.89%
18-04-2008,"8,203",2.05%
21-04-2008,"8,350",1.79%
22-04-2008,"8,550",2.40%
23-04-2008,"8,862",3.65%
24-04-2008,"9,182",3.61%
25-04-2008,"9,329",1.60%
28-04-2008,"9,344",0.16%
29-04-2008,"9,273",-0.76%
30-04-2008,"9,356",0.90%
01-05-2008,"9,439",0.89%
02-05-2008,"9,581",1.50%
06-05-2008,"9,855",2.86%
07-05-2008,"10,104",2.53%
08-05-2008,"10,221",1.16%
09-05-2008,"10,237",0.16%
12-05-2008,"10,220",-0.17%
13-05-2008,"10,354",1.31%
14-05-2008,"10,649",2.85%
15-05-2008,"11,067",3.93%
16-05-2008,"11,459",3.54%
19-05-2008,"11,709",2.18%
20-05-2008,"11,793",0.72%
21-05-2008,"11,771",-0.19%
22-05-2008,"11,648",-1.04%
23-05-2008,"11,465",-1.57%
27-05-2008,"11,269",-1.71%
28-05-2008,"11,245",-0.21%
29-05-2008,"11,347",0.91%
30-05-2008,"11,440",0.82%
02-06-2008,"11,458",0.16%
03-06-2008,"11,503",0.39%
04-06-2008,"11,623",1.04%
05-06-2008,"11,689",0.57%
06-06-2008,"11,612",-0.66%
09-06-2008,"11,534",-0.67%
10-06-2008,"11,409",-1.08%
11-06-2008,"11,105",-2.66%
12-06-2008,"10,142",-8.67%
13-06-2008,"9,646",-4.89%
16-06-2008,"9,419",-2.35%
17-06-2008,"9,413",-0.06%
18-06-2008,"9,437",0.25%
19-06-2008,"9,474",0.39%
20-06-2008,"9,428",-0.49%
23-06-2008,"9,211",-2.30%
24-06-2008,"9,139",-0.78%
25-06-2008,"9,244",1.15%
26-06-2008,"9,473",2.48%
27-06-2008,"9,599",1.33%
30-06-2008,"9,589",-0.10%
01-07-2008,"9,379",-2.19%
02-07-2008,"9,139",-2.56%
03-07-2008,"8,925",-2.34%
04-07-2008,"8,854",-0.80%
07-07-2008,"8,964",1.24%
08-07-2008,"9,147",2.04%
09-07-2008,"9,272",1.37%
10-07-2008,"9,313",0.44%
11-07-2008,"9,230",-0.89%
14-07-2008,"9,181",-0.53%
15-07-2008,"9,150",-0.34%
16-07-2008,"9,092",-0.63%
17-07-2008,"9,059",-0.36%
18-07-2008,"9,012",-0.52%
21-07-2008,"8,961",-0.57%
22-07-2008,"8,904",-0.64%
23-07-2008,"8,856",-0.54%
24-07-2008,"8,771",-0.96%
25-07-2008,"8,637",-1.53%
28-07-2008,"8,513",-1.44%
29-07-2008,"8,434",-0.93%
30-07-2008,"8,388",-0.55%
31-07-2008,"8,341",-0.56%
01-08-2008,"8,280",-0.73%
04-08-2008,"8,209",-0.86%
05-08-2008,"8,100",-1.33%
06-08-2008,"7,869",-2.85%
07-08-2008,"7,521",-4.42%
08-08-2008,"7,201",-4.25%
11-08-2008,"7,055",-2.03%
12-08-2008,"6,992",-0.89%
13-08-2008,"7,097",1.50%
14-08-2008,"7,420",4.55%
15-08-2008,"7,557",1.85%
18-08-2008,"7,622",0.86%
19-08-2008,"7,543",-1.04%
20-08-2008,"7,344",-2.64%
21-08-2008,"7,190",-2.10%
22-08-2008,"7,147",-0.60%
26-08-2008,"7,115",-0.45%
27-08-2008,"7,050",-0.91%
28-08-2008,"6,929",-1.72%
29-08-2008,"6,809",-1.73%
01-09-2008,"6,691",-1.73%
02-09-2008,"6,466",-3.36%
03-09-2008,"6,146",-4.95%
04-09-2008,"5,874",-4.43%
05-09-2008,"5,663",-3.59%
08-09-2008,"5,492",-3.02%
09-09-2008,"5,255",-4.32%
10-09-2008,"5,026",-4.36%
11-09-2008,"4,893",-2.65%
12-09-2008,"4,800",-1.90%
15-09-2008,"4,747",-1.10%
16-09-2008,"4,760",0.27%
17-09-2008,"4,856",2.02%
18-09-2008,"4,958",2.10%
19-09-2008,"4,975",0.34%
22-09-2008,"4,949",-0.52%
23-09-2008,"4,782",-3.37%
24-09-2008,"4,489",-6.13%
25-09-2008,"4,163",-7.26%
26-09-2008,"3,746",-10.02%
29-09-2008,"3,504",-6.46%
30-09-2008,"3,217",-8.19%
01-10-2008,"3,025",-5.97%
02-10-2008,"2,990",-1.16%
03-10-2008,"3,002",0.40%
06-10-2008,"2,992",-0.33%
07-10-2008,"2,922",-2.34%
08-10-2008,"2,764",-5.41%
09-10-2008,"2,503",-9.44%
10-10-2008,"2,221",-11.27%
13-10-2008,"1,976",-11.03%
14-10-2008,"1,809",-8.45%
15-10-2008,"1,615",-10.72%
16-10-2008,"1,506",-6.75%
17-10-2008,"1,438",-4.52%
20-10-2008,"1,355",-5.77%
21-10-2008,"1,292",-4.65%
22-10-2008,"1,221",-5.50%
23-10-2008,"1,149",-5.90%
24-10-2008,"1,102",-4.09%
27-10-2008,"1,048",-4.90%
28-10-2008,982,-6.30%
29-10-2008,925,-5.80%
30-10-2008,885,-4.32%
