date,value
28-02-2010,3070.39
01-03-2010,3130.83
02-03-2010,3368.03
03-03-2010,3454.63
04-03-2010,3408.87
07-03-2010,3271.26
08-03-2010,3145.98
09-03-2010,3373.4
10-03-2010,3495.68
11-03-2010,3658.0
14-03-2010,3532.92
15-03-2010,3376.77
16-03-2010,3431.28
17-03-2010,3385.87
18-03-2010,3403.85
21-03-2010,3349.9
22-03-2010,3313.25
23-03-2010,3255.95
24-03-2010,3147.6
25-03-2010,3205.1
28-03-2010,3196.06
29-03-2010,3280.35
30-03-2010,3301.95
31-03-2010,3295.24
05-04-2010,3239.98
06-04-2010,3150.63
07-04-2010,3072.01
08-04-2010,3107.05
11-04-2010,2981.42
12-04-2010,3068.17
13-04-2010,3137.43
14-04-2010,3062.1
15-04-2010,3035.77
18-04-2010,2975.07
19-04-2010,3039.91
20-04-2010,3038.31
21-04-2010,3012.09
22-04-2010,2998.08
25-04-2010,3085.58
26-04-2010,3258.59
27-04-2010,3214.51
28-04-2010,3119.46
29-04-2010,3105.83
03-05-2010,3144.38
04-05-2010,3213.14
05-05-2010,3341.17
06-05-2010,3386.91
09-05-2010,3544.04
10-05-2010,3577.79
11-05-2010,3450.08
12-05-2010,3496.06
13-05-2010,3493.97
16-05-2010,3383.83
17-05-2010,3357.02
18-05-2010,3247.14
19-05-2010,3333.43
20-05-2010,3442.92
23-05-2010,3586.87
24-05-2010,3620.38
25-05-2010,3504.57
26-05-2010,3438.84
27-05-2010,3449.75
31-05-2010,3583.37
01-06-2010,3407.01
02-06-2010,3289.81
03-06-2010,3257.09
06-06-2010,3183.93
07-06-2010,3105.77
08-06-2010,3125.71
09-06-2010,3026.57
10-06-2010,2922.48
13-06-2010,2788.57
14-06-2010,2832.6
15-06-2010,2803.59
16-06-2010,2760.52
17-06-2010,2738.3
20-06-2010,2676.28
21-06-2010,2633.65
22-06-2010,2688.66
23-06-2010,2615.46
24-06-2010,2608.32
27-06-2010,2500.6
28-06-2010,2408.17
29-06-2010,2308.65
30-06-2010,2175.62
01-07-2010,2100.27
04-07-2010,2116.07
05-07-2010,2055.64
06-07-2010,1953.12
07-07-2010,1970.02
08-07-2010,2045.7
11-07-2010,1996.2
12-07-2010,1974.8
13-07-2010,1997.27
14-07-2010,2115.55
15-07-2010,2193.79
18-07-2010,2185.93
19-07-2010,2210.05
20-07-2010,2262.91
21-07-2010,2252.85
22-07-2010,2239.93
25-07-2010,2237.98
26-07-2010,2315.81
27-07-2010,2378.54
28-07-2010,2523.55
29-07-2010,2520.26
01-08-2010,2437.5
02-08-2010,2324.28
03-08-2010,2363.87
04-08-2010,2470.53
05-08-2010,2557.58
08-08-2010,2691.42
09-08-2010,2742.15
10-08-2010,2825.78
11-08-2010,2719.21
12-08-2010,2719.64
15-08-2010,2794.41
16-08-2010,2865.69
17-08-2010,2904.56
18-08-2010,3050.52
19-08-2010,3176.33
22-08-2010,3189.3
23-08-2010,3017.65
24-08-2010,2876.26
25-08-2010,2934.35
26-08-2010,2994.53
30-08-2010,3056.41
31-08-2010,3222.27
01-09-2010,3177.23
02-09-2010,3207.22
05-09-2010,3148.05
06-09-2010,3225.76
07-09-2010,3187.36
08-09-2010,3101.68
09-09-2010,3140.5
12-09-2010,3067.42
13-09-2010,2981.86
14-09-2010,2844.8
15-09-2010,2802.05
16-09-2010,2872.36
19-09-2010,2878.74
20-09-2010,2747.46
21-09-2010,2691.94
22-09-2010,2795.23
23-09-2010,2856.41
26-09-2010,2959.87
27-09-2010,2878.77
28-09-2010,2732.52
29-09-2010,2780.58
30-09-2010,2838.34
03-10-2010,2875.88
04-10-2010,2958.63
05-10-2010,2910.87
06-10-2010,2871.92
07-10-2010,2915.82
10-10-2010,2938.0
11-10-2010,2924.16
12-10-2010,2870.93
13-10-2010,2850.26
14-10-2010,2819.04
17-10-2010,2822.8
18-10-2010,2809.74
19-10-2010,2799.52
20-10-2010,2859.22
21-10-2010,2931.38
24-10-2010,2986.4
