Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,6084738.89,100.0,6084738.89,47.38%
TD20 FFA 130kt West Africa to Continent USD/MT M Feb 26,DD20M G26 INDEX,DD20M G26,10.0,28.977,289770.0,2.26%
TD20 FFA 130kt West Africa to Continent USD/MT M Mar 26,DD20M H26 INDEX,DD20M H26,10.0,31.45,314500.0,2.45%
TD20 FFA 130kt West Africa to Continent USD/MT M Apr 26,DD20M J26 INDEX,DD20M J26,10.0,28.928,289280.0,2.25%
TD20 FFA 130kt West Africa to Continent USD/MT M May 26,DD20M K26 INDEX,DD20M K26,10.0,25.189,251890.0,1.96%
TD20 FFA 130kt West Africa to Continent USD/MT M Jun 26,DD20M M26 INDEX,DD20M M26,10.0,22.518,225180.0,1.75%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Feb 26,DD3CM G26 INDEX,DD3CM G26,65.0,30.97,2013050.0,15.68%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Mar 26,DD3CM H26 INDEX,DD3CM H26,105.0,34.36,3607800.0,28.09%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Apr 26,DD3CM J26 INDEX,DD3CM J26,75.0,31.554,2366550.0,18.43%
TD3C FFA 270kt Middle East Gulf to China USD/MT M May 26,DD3CM K26 INDEX,DD3CM K26,75.0,26.985,2023875.0,15.76%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Jun 26,DD3CM M26 INDEX,DD3CM M26,75.0,25.132,1884900.0,14.68%
Cash & Other,Cash&Other,Cash&Other,6752811.23,1.0,6752811.23,52.59%
