Date,Index,% Change
02-01-2008,"1,083",
03-01-2008,"1,081",-0.18%
04-01-2008,"1,071",-0.93%
07-01-2008,"1,069",-0.19%
08-01-2008,"1,068",-0.09%
09-01-2008,"1,060",-0.75%
10-01-2008,"1,057",-0.28%
11-01-2008,"1,057",0.00%
14-01-2008,"1,042",-1.42%
15-01-2008,"1,030",-1.15%
16-01-2008,"1,017",-1.26%
17-01-2008,"1,009",-0.79%
18-01-2008,"1,006",-0.30%
21-01-2008,998,-0.80%
22-01-2008,984,-1.40%
23-01-2008,969,-1.52%
24-01-2008,968,-0.10%
25-01-2008,964,-0.41%
28-01-2008,957,-0.73%
29-01-2008,954,-0.31%
30-01-2008,946,-0.84%
31-01-2008,943,-0.32%
01-02-2008,938,-0.53%
04-02-2008,931,-0.75%
05-02-2008,917,-1.50%
06-02-2008,906,-1.20%
07-02-2008,897,-0.99%
08-02-2008,895,-0.22%
11-02-2008,891,-0.45%
12-02-2008,879,-1.35%
13-02-2008,880,0.11%
14-02-2008,881,0.11%
15-02-2008,878,-0.34%
19-02-2008,871,-0.80%
20-02-2008,865,-0.69%
21-02-2008,869,0.46%
22-02-2008,880,1.27%
25-02-2008,882,0.23%
26-02-2008,894,1.36%
27-02-2008,921,3.02%
28-02-2008,938,1.85%
29-02-2008,946,0.85%
03-03-2008,946,0.00%
04-03-2008,947,0.11%
05-03-2008,943,-0.42%
06-03-2008,935,-0.85%
07-03-2008,930,-0.53%
10-03-2008,928,-0.22%
11-03-2008,927,-0.11%
12-03-2008,926,-0.11%
13-03-2008,923,-0.32%
14-03-2008,921,-0.22%
17-03-2008,920,-0.11%
18-03-2008,916,-0.43%
19-03-2008,912,-0.44%
24-03-2008,905,-0.77%
25-03-2008,891,-1.55%
27-03-2008,888,-0.34%
28-03-2008,888,0.00%
31-03-2008,883,-0.56%
01-04-2008,873,-1.13%
02-04-2008,868,-0.57%
03-04-2008,857,-1.27%
04-04-2008,857,0.00%
07-04-2008,862,0.58%
08-04-2008,864,0.23%
09-04-2008,887,2.66%
10-04-2008,908,2.37%
11-04-2008,933,2.75%
14-04-2008,945,1.29%
15-04-2008,963,1.90%
16-04-2008,"1,026",6.54%
17-04-2008,"1,083",5.56%
18-04-2008,"1,110",2.49%
21-04-2008,"1,124",1.26%
22-04-2008,"1,150",2.31%
23-04-2008,"1,193",3.74%
24-04-2008,"1,233",3.35%
25-04-2008,"1,237",0.32%
28-04-2008,"1,233",-0.32%
29-04-2008,"1,219",-1.14%
30-04-2008,"1,210",-0.74%
01-05-2008,"1,197",-1.07%
02-05-2008,"1,192",-0.42%
06-05-2008,"1,178",-1.17%
07-05-2008,"1,164",-1.19%
08-05-2008,"1,159",-0.43%
09-05-2008,"1,159",0.00%
12-05-2008,"1,156",-0.26%
13-05-2008,"1,164",0.69%
14-05-2008,"1,175",0.95%
15-05-2008,"1,189",1.19%
16-05-2008,"1,191",0.17%
19-05-2008,"1,195",0.34%
20-05-2008,"1,200",0.42%
21-05-2008,"1,212",1.00%
22-05-2008,"1,241",2.39%
23-05-2008,"1,275",2.74%
27-05-2008,"1,299",1.88%
28-05-2008,"1,323",1.85%
29-05-2008,"1,346",1.74%
30-05-2008,"1,369",1.71%
02-06-2008,"1,388",1.39%
03-06-2008,"1,419",2.23%
04-06-2008,"1,447",1.97%
05-06-2008,"1,454",0.48%
06-06-2008,"1,455",0.07%
09-06-2008,"1,460",0.34%
10-06-2008,"1,476",1.10%
11-06-2008,"1,487",0.75%
12-06-2008,"1,494",0.47%
13-06-2008,"1,501",0.47%
16-06-2008,"1,496",-0.33%
17-06-2008,"1,504",0.53%
18-06-2008,"1,505",0.07%
19-06-2008,"1,509",0.27%
20-06-2008,"1,504",-0.33%
23-06-2008,"1,503",-0.07%
24-06-2008,"1,486",-1.13%
25-06-2008,"1,478",-0.54%
26-06-2008,"1,477",-0.07%
27-06-2008,"1,474",-0.20%
30-06-2008,"1,465",-0.61%
01-07-2008,"1,454",-0.75%
02-07-2008,"1,448",-0.41%
03-07-2008,"1,443",-0.35%
04-07-2008,"1,442",-0.07%
07-07-2008,"1,426",-1.11%
08-07-2008,"1,414",-0.84%
09-07-2008,"1,395",-1.34%
10-07-2008,"1,382",-0.93%
11-07-2008,"1,366",-1.16%
14-07-2008,"1,354",-0.88%
15-07-2008,"1,336",-1.33%
16-07-2008,"1,324",-0.90%
17-07-2008,"1,319",-0.38%
18-07-2008,"1,321",0.15%
21-07-2008,"1,319",-0.15%
22-07-2008,"1,299",-1.52%
23-07-2008,"1,298",-0.08%
24-07-2008,"1,295",-0.23%
25-07-2008,"1,290",-0.39%
28-07-2008,"1,287",-0.23%
29-07-2008,"1,277",-0.78%
30-07-2008,"1,281",0.31%
31-07-2008,"1,305",1.87%
01-08-2008,"1,313",0.61%
04-08-2008,"1,331",1.37%
05-08-2008,"1,337",0.45%
06-08-2008,"1,367",2.24%
07-08-2008,"1,381",1.02%
08-08-2008,"1,388",0.51%
11-08-2008,"1,395",0.50%
12-08-2008,"1,404",0.65%
13-08-2008,"1,414",0.71%
14-08-2008,"1,439",1.77%
15-08-2008,"1,459",1.39%
18-08-2008,"1,469",0.69%
19-08-2008,"1,473",0.27%
20-08-2008,"1,468",-0.34%
21-08-2008,"1,474",0.41%
22-08-2008,"1,479",0.34%
26-08-2008,"1,499",1.35%
27-08-2008,"1,490",-0.60%
28-08-2008,"1,484",-0.40%
29-08-2008,"1,480",-0.27%
01-09-2008,"1,476",-0.27%
02-09-2008,"1,469",-0.47%
03-09-2008,"1,456",-0.88%
04-09-2008,"1,443",-0.89%
05-09-2008,"1,433",-0.69%
08-09-2008,"1,431",-0.14%
09-09-2008,"1,426",-0.35%
10-09-2008,"1,413",-0.91%
11-09-2008,"1,402",-0.78%
12-09-2008,"1,415",0.93%
15-09-2008,"1,432",1.20%
16-09-2008,"1,441",0.63%
17-09-2008,"1,451",0.69%
18-09-2008,"1,458",0.48%
19-09-2008,"1,462",0.27%
22-09-2008,"1,465",0.21%
23-09-2008,"1,446",-1.30%
24-09-2008,"1,436",-0.69%
25-09-2008,"1,428",-0.56%
26-09-2008,"1,424",-0.28%
29-09-2008,"1,415",-0.63%
30-09-2008,"1,399",-1.13%
01-10-2008,"1,367",-2.29%
02-10-2008,"1,355",-0.88%
03-10-2008,"1,349",-0.44%
06-10-2008,"1,341",-0.59%
07-10-2008,"1,310",-2.31%
08-10-2008,"1,295",-1.15%
09-10-2008,"1,264",-2.39%
10-10-2008,"1,247",-1.34%
13-10-2008,"1,218",-2.33%
14-10-2008,"1,193",-2.05%
15-10-2008,"1,199",0.50%
16-10-2008,"1,202",0.25%
17-10-2008,"1,191",-0.92%
20-10-2008,"1,177",-1.18%
21-10-2008,"1,152",-2.12%
22-10-2008,"1,134",-1.56%
23-10-2008,"1,126",-0.71%
24-10-2008,"1,121",-0.44%
27-10-2008,"1,113",-0.71%
28-10-2008,"1,106",-0.63%
29-10-2008,"1,091",-1.36%
30-10-2008,"1,074",-1.56%
31-10-2008,"1,063",-1.02%
03-11-2008,"1,039",-2.26%
04-11-2008,"1,018",-2.02%
05-11-2008,"1,001",-1.67%
06-11-2008,981,-2.00%
07-11-2008,968,-1.33%
10-11-2008,965,-0.31%
11-11-2008,969,0.41%
12-11-2008,963,-0.62%
13-11-2008,961,-0.21%
14-11-2008,961,0.00%
17-11-2008,956,-0.52%
18-11-2008,949,-0.73%
19-11-2008,943,-0.63%
20-11-2008,939,-0.42%
21-11-2008,931,-0.85%
24-11-2008,918,-1.40%
25-11-2008,905,-1.42%
26-11-2008,897,-0.88%
27-11-2008,893,-0.45%
28-11-2008,888,-0.56%
01-12-2008,880,-0.90%
02-12-2008,877,-0.34%
03-12-2008,867,-1.14%
04-12-2008,867,0.00%
05-12-2008,869,0.23%
08-12-2008,869,0.00%
09-12-2008,865,-0.46%
10-12-2008,863,-0.23%
11-12-2008,855,-0.93%
12-12-2008,847,-0.94%
15-12-2008,842,-0.59%
16-12-2008,837,-0.59%
17-12-2008,835,-0.24%
18-12-2008,836,0.12%
19-12-2008,838,0.24%
22-12-2008,840,0.24%
23-12-2008,839,-0.12%
24-12-2008,838,-0.12%
02-01-2009,623,-25.66%
05-01-2009,611,-1.93%
06-01-2009,590,-3.44%
07-01-2009,576,-2.37%
08-01-2009,571,-0.87%
09-01-2009,563,-1.40%
12-01-2009,553,-1.78%
13-01-2009,548,-0.90%
14-01-2009,544,-0.73%
15-01-2009,538,-1.10%
16-01-2009,538,0.00%
19-01-2009,542,0.74%
20-01-2009,543,0.18%
21-01-2009,556,2.39%
22-01-2009,561,0.90%
23-01-2009,564,0.53%
26-01-2009,572,1.42%
27-01-2009,576,0.70%
28-01-2009,584,1.39%
29-01-2009,592,1.37%
30-01-2009,598,1.01%
02-02-2009,600,0.33%
03-02-2009,604,0.67%
04-02-2009,608,0.66%
05-02-2009,609,0.16%
06-02-2009,609,0.00%
09-02-2009,610,0.16%
10-02-2009,612,0.33%
11-02-2009,611,-0.16%
12-02-2009,612,0.16%
13-02-2009,617,0.82%
16-02-2009,621,0.65%
17-02-2009,623,0.32%
18-02-2009,616,-1.12%
19-02-2009,607,-1.46%
20-02-2009,600,-1.15%
23-02-2009,592,-1.33%
24-02-2009,577,-2.53%
25-02-2009,564,-2.25%
