date,vlcc_1y_tc,vlcc_3y_tc,suezmax_1y_tc,suezmax_3y_tc,aframax_1y_tc,aframax_3y_tc,lr1_1y_tc,lr1_3y_tc,mr_1y_tc,mr_3y_tc,handy_tanker_1y_tc,handy_tanker_3y_tc,capesize_1y_tc,capesize_3y_tc,panamax_1y_tc,panamax_3y_tc,supramax_1y_tc,supramax_3y_tc,handysize_1y_tc,handysize_3y_tc,source
2025-03-07,44500,45000,35000,33000,32000,29500,24500,21500,21500,20000,18000,17000,25000,21500,13250,11500,12500,12500,10000,10000,intermodal
2025-03-21,44500,45000,35250,33000,32000,28500,24500,21500,21250,19250,18000,17000,24000,21500,14000,11750,12750,12500,10500,10000,intermodal
2025-04-04,47500,45000,35000,33000,30000,28000,24500,21500,21250,19250,18000,17000,22000,20500,13500,10500,12500,12750,10500,10500,intermodal
2025-04-11,47500,44250,35000,33000,30000,28000,0,0,21250,19250,18000,17000,21000,20000,13000,10000,11250,12250,10500,10500,intermodal
2025-04-25,50500,44250,35000,33000,30000,28000,24500,21500,21250,19250,18000,17000,22000,20500,11750,10000,11250,12250,10500,10500,intermodal
2025-05-09,51500,45000,35000,33000,32000,28250,24500,21500,20750,19250,18000,17000,22000,19500,12000,10000,11250,12250,10000,10500,intermodal
2025-05-16,51500,44250,35000,33000,32000,29250,24500,21500,21000,19250,18000,17000,22500,19750,12000,10000,11250,12250,10000,10500,intermodal
2025-05-23,48000,44250,35000,33000,32000,29250,24500,21500,21000,19250,18000,17000,21500,19250,11500,9500,11250,12250,10000,10500,intermodal
2025-06-06,48250,44250,35000,33000,32000,29250,24500,21500,21000,19250,18000,17000,22500,19250,11500,9500,11500,12000,10000,10500,intermodal
2025-06-13,46750,44250,35000,33000,32000,29250,24500,21500,20250,18500,18000,17000,26000,20000,11750,9750,11500,12000,10000,10500,intermodal
2025-06-20,47500,44250,35000,33000,33000,29250,26000,21500,20250,18500,18000,17000,22000,20250,11750,9750,11500,12000,10000,10500,intermodal
2025-07-04,48500,44250,35000,33000,33500,29250,24500,21500,20750,18500,18000,17000,24250,19500,12000,10250,11750,12250,10000,10500,intermodal
2025-07-11,45750,43750,34500,32000,32500,29250,24500,21500,20500,18250,17000,16000,23500,20500,12500,10750,12750,12250,10500,10500,intermodal
2025-07-18,45750,43750,34500,32000,32500,29250,24500,21500,20500,18250,17000,16000,26500,21500,13500,11000,12750,12250,10500,10500,intermodal
2025-07-25,45750,43750,34250,32000,31500,29250,24500,20500,20500,18250,17000,16000,29500,22000,13000,11000,12750,12250,10500,10500,intermodal
2025-08-15,45750,43750,34750,32000,32500,28750,24500,20500,20500,18250,16750,16000,29000,22250,13000,11000,12750,12250,10500,10500,intermodal
2025-09-05,48000,43000,39750,33000,32500,28750,24500,20500,21000,18750,17500,16000,26750,22000,14500,12000,12750,12250,10500,10500,intermodal
