user_ticker,symbol,name,sector,currency,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,52w_high,52w_low,shares_outstanding,exchange
SHLF,SHLF.OL,"Shelf Drilling, Ltd.",Offshore Rigs,ERROR,,,,,,,,,,
CCORB,CCOR-B.ST,Concordia Maritime AB,Tankers,N/A,,,,,,,,,,N/A
CLCO,CLCO.OL,Cool Company Ltd.,LNG Gas,ERROR,,,,,,,,,,
SUBC,SUBC.OL,SUBSEA 7,Offshore Subsea,NOK,96662634496.0,96508329984.0,17.008858,13.28539,2.1887407,5.97,358.2,180.1,296147764.0,OSL
DNORD,DNORD.CO,D/S Norden,Dry Bulk / Tankers,DKK,10609488896.0,11166964736.0,11.529974,46.4055,1.2562697,2.07,386.6,229.2,27443064.0,CPH
HAUTO,HAUTO.OL,HOEGH AUTOLINERS ASA,Car Carriers / RoRo,NOK,34752561152.0,34027003904.0,8.42512,9.319747,2.8026307,1.81,195.9,84.0,199269288.0,OSL
WAWI,WAWI.OL,WALLENIUS WILHELMSEN,Car Carriers / RoRo,NOK,71422935040.0,73441935360.0,10.974658,11.009904,2.080719,5.16,170.9,75.0,422871121.0,OSL
TGS,TGS.OL,TGS ASA,Offshore Seismic,NOK,26704754688.0,27382956032.0,29.737415,11.17972,1.4685963,4.39,159.9,70.05,196502987.0,OSL
SOFF,SOFF.OL,SOLSTAD OFFSHORE,Offshore Support,NOK,7634931712.0,6216166912.0,4.2606063,5.700385,1.3067638,4.11,72.0,40.5,108605000.0,OSL
EIOF,EIOF.OL,EIDESVIK OFFSHORE,Offshore Support,NOK,1248015104.0,2685303040.0,22.800001,-3.7336247,0.75138414,1.17,18.0,12.25,72983333.0,OSL
DLF,DLF.NS,DLF LIMITED,Real Estate / Infrastructure,INR,1687915069440.0,1595105476608.0,38.031235,26.824799,3.711869,1.17,794.8,489.4,2475311706.0,NSI
A010620,010620.KS,"HD Hyundai Mipo Co., Ltd.",Shipbuilding,ERROR,,,,,,,,,,
JIN,JIN.OL,JINHUI SHIPPING AND TRANSPORTAT,Dry Bulk,NOK,721108992.0,761708032.0,10.999999,31.428572,0.20281154,2.65,7.5,5.22,109258943.0,OSL
MPCC,MPCC.OL,MPC CONTAINER SHIPS,Containers,NOK,13397530624.0,13428810752.0,6.267123,8.591933,1.2984922,6.35,28.75,15.3,488070306.0,OSL
VSSABB,VSSAB-B.ST,Viking Supply Ships AB ser. B,Offshore / Icebreaking,SEK,2026547968.0,3479547904.0,10.013004,,1.0660465,,158.5,99.6,12533704.0,STO
PCFBY,2343.HK,PACIFIC BASIN,Dry Bulk,HKD,22056161280.0,21695133696.0,0.35168448,14.80221,1.4752582,7.24,4.435,2.23,5153308803.0,HKG
EXM,EXMB.BR,Exmar NV,Gas / Offshore,ERROR,,,,,,,,,,
MAZDOC,MAZDOCK.NS,MAZAGON DOCK SHIPBUIL LTD,Shipbuilding,INR,998365528064.0,874177298432.0,37.31343,31.191982,10.234505,0.84,3061.4,2057.4,403380000.0,NSI
CKN,CKN.L,CLARKSON PLC ORD 25P,Shipbroking,GBp,1566759040.0,1304300032.0,20.4,17.301743,2.8934531,2.24,5485.0,3365.0,30720763.0,LSE
0NIS,SBMO.AS,SBM OFFSHORE,Offshore FPSO,EUR,5808018944.0,13978546176.0,7.678261,9.096069,1.5113131,2.87,37.38,20.74,164439955.0,AMS
GCC,GCC.OL,Gram Car Carriers ASA,Car Carriers,N/A,,,,,,,,,,N/A
2603,2603.TW,EVERGREEN MARINE CORP(TAIWAN),Containers,TWD,504455004160.0,537360793600.0,9.249702,9.559876,0.8992979,6.87,256.5,175.0,2165043000.0,TAI
BTM,BTM.SI,Penguin Intl,Passenger / Ferry,SGD,432295072.0,466327072.0,11.470589,,1.5258217,2.56,1.99,1.2,221689774.0,SES
GRSE,GRSE.NS,GARDEN REACH SHIP&ENG LTD,Shipbuilding,INR,290732965888.0,256640286720.0,36.29863,28.570358,11.07011,0.77,3339.0,1963.7,114552000.0,NSI
601872,601872.SS,CHINA MERCHANTS ENERGY SHIPPING,Tankers / Dry Bulk,CNY,155031142400.0,176316071936.0,14.328359,22.068966,3.3097742,1.67,22.16,7.65,8074538502.0,SHH
PORT3,PORT3.SA,Wilson Sons S.A.,Port Terminals / Towage,ERROR,,,,,,,,,,
KCC,KCC.OL,KLAVENESS COMBINATION CARRIERS,Combination Carriers,NOK,5872469504.0,6152031744.0,10.83151,9.467806,1.6771573,7.16,109.6,70.0,59317877.0,OSL
COCHINSHIP,COCHINSHIP.NS,COCHIN SHIPYARD LIMITED,Shipbuilding,INR,394384408576.0,386831908864.0,57.813343,33.53691,6.715164,0.88,1979.9,1187.0,263080780.0,NSI
BEZ,BEZ.SI,Beng Kuang,Offshore / Marine Services,SGD,121496840.0,114353688.0,13.5,10.125,10.945946,1.48,0.6,0.26,299992179.0,SES
EIM,EIM.IC,Eimskipafélag Íslands hf.,Containers / Logistics,ISK,43989196800.0,44244135936.0,47.38676,,149.61496,1.55,384.0,218.0,161725000.0,ICE
SEA1,SEA1.OL,Sea1 Offshore Inc.,Offshore Support,NOK,4383673344.0,4647577600.0,6.1266093,7.9698935,1.123222,,36.35,19.36,153543734.0,OSL
DOFG,DOFG.OL,DOF GROUP ASA,Offshore Support,NOK,32705806336.0,34080804864.0,7.494357,7.8827295,1.6812483,10.44,143.7,86.4,246278655.0,OSL
BELCO,BELCO.OL,Belships ASA,Dry Bulk,N/A,,,,,,,,,,N/A
1919,1919.HK,COSCO SHIP HOLD,Containers,HKD,247643602944.0,225306869760.0,7.021645,11.032752,0.8928718,6.13,18.04,11.61,2711586000.0,HKG
WEST,WEST.OL,WESTERN BULK CHARTERING AS,Dry Bulk Operator,NOK,700338624.0,702150912.0,112.63158,11.96868,1.4619981,5.65,23.0,12.65,32726104.0,OSL
7014,7014.T,NAMURA SHIPBUILDING CO,Shipbuilding,JPY,333816201216.0,234692165632.0,15.5763235,,2.4131224,1.25,6050.0,2995.0,69545044.0,JPX
GESHIP,GEPIL.NS,The Great Eastern Shipping Company,Tankers / Dry Bulk,ERROR,,,,,,,,,,
DIS,DIS.MI,D'AMICO,Product Tankers,EUR,946208640.0,928312640.0,8.452127,14.885504,1.3462965,5.8,9.27,4.022,119094855.0,MIL
VAPORES,VAPORES.SN,COMPANIA SUD AMERICANA DE VAPOR,Containers,CLP,2525964533760.0,2450139381760.0,,12.751296,364.5926,24.98,55.0,42.0,51319876188.0,SGO
HAVI,HAVI.OL,HAVILA SHIPPING,Offshore Support,NOK,306813280.0,1144865280.0,,-0.5575,1.1083499,,1.9,0.716,275168875.0,OSL
SNI,SNI.OL,STOLT-NIELSEN,Chemical Tankers,NOK,22443536384.0,20318126080.0,8.635667,8.857114,0.76718974,5.57,358.5,281.5,53120796.0,OSL
OROVY,0316.HK,OOIL,Containers,HKD,98791849984.0,94258470912.0,9.784173,18.074606,0.90871423,5.06,178.9,117.9,660373297.0,HKG
HLAG,HLAG.DE,Hapag-Lloyd AG                N,Containers,EUR,24413102080.0,26232420352.0,420.90906,-146.93747,1.3753428,2.16,159.3,108.7,175760293.0,GER
BMS,BMS.L,BRAEMAR PLC ORD 10P,Shipbroking,GBp,69411584.0,80332584.0,36.166668,6.719931,0.8427184,3.23,260.0,203.112,31986906.0,LSE
DVD,DVD.OL,DEEP VALUE DRILLER AS,Offshore Drilling,NOK,1893543808.0,1901881728.0,11.571428,,30.173624,13.33,22.35,18.32,93508333.0,OSL
EQVA,EQVA.OL,EQVA ASA,Industrial / Marine,NOK,270529632.0,668163648.0,,,0.6691613,,5.04,2.74,88990011.0,OSL
ODF,ODF.OL,ODFJELL SER. A,Chemical Tankers,NOK,9644584960.0,10548084736.0,6.252567,7.397194,1.0034151,8.0,140.4,100.2,60416462.0,OSL
SDSD,SDSD.OL,S.D. STANDARD ETC PLC,Offshore / Energy Transition,NOK,936201984.0,811338176.0,19.833332,89.25,0.8252234,,1.995,1.775,524482901.0,OSL
5E2,S51.SI,Seatrium Limited,Shipyard / Rig Building,N/A,,,,,,,,,,N/A
ODL,ODL.OL,ODFJELL DRILLING,Offshore Drilling,NOK,22829633536.0,23735834624.0,10.9803915,9.122894,1.698465,9.34,112.0,73.6,239807088.0,OSL
A009540,009540.KS,HDKSOE,Shipbuilding,KRW,24644048388096.0,18608883236864.0,,5.7954206,,4.48,494500.0,314000.0,70714630.0,KSC
2609,2609.TW,YANG MING MARINE TRANSPORT CORP,Containers,TWD,203240472576.0,93239451648.0,13.1081085,15.310512,0.6213369,3.44,69.9,47.25,3492104270.0,TAI
A010140,010140.KS,SamsungHvyInd,Shipbuilding,KRW,18278818775040.0,17216619675648.0,,12.562064,,,35350.0,18440.0,854035571.0,KSC
603209,603209.SS,XINGTONG SHIPPING CO LTD,Chemical / Product Tankers,CNY,4728750080.0,5913892352.0,13.59813,14.264707,1.3478463,1.37,18.12,12.25,325000000.0,SHH
533427,533427.BO,"533427.BO,0P0000TI8E,474019",Ship Dismantling / Scrap,INR,1055048320.0,,14.916955,,1.1107962,,74.95,31.0,24473400.0,BSE
601975,601975.SS,NANJING TANKER CORPORATION,Product Tankers,CNY,41935888384.0,16573179904.0,13.575757,9.73913,1.72043,0.6,6.0,2.95,4680344678.0,SHH
ASB,ASB.AX,AUSTAL LTD FPO [ASB],Shipbuilding / Defense,AUD,1827581312.0,1803015808.0,,17.397943,1.4758009,,8.82,3.33,422074212.0,ASX
600026,600026.SS,COSCO SHIPPING ENGY TPT CO LTD,Tankers / LNG,CNY,111162589184.0,132899110912.0,24.506025,9.381486,2.3134668,1.87,27.17,11.19,4169220839.0,SHH
FCT,FCT.MI,FINCANTIERI,Shipbuilding,EUR,4387653632.0,6268983296.0,23.04717,15.135558,2.7096274,,27.38,9.618,359202121.0,MIL
DORI,DORI.OL,Dolphin Drilling AS,Offshore Drilling,ERROR,,,,,,,,,,
NOL,NOL.OL,NORTHERN OCEAN LTD.,Offshore Drilling,NOK,2261986816.0,2375111936.0,,-7.8691983,0.7615021,,10.88,5.52,303215392.0,OSL
5UL,5UL.SI,$ Atlantic Nav,Offshore Support,SGD,49733652.0,45618652.0,9.5,,1.9227976,219.47,0.17,0.08,523512144.0,SES
GEOS,GEOS.OL,GOLDEN ENERGY OFFSHORE SERVICES,Offshore Support,NOK,479992384.0,593864384.0,,0.8607595,0.73236406,60.61,21.3,6.04,70587113.0,OSL
601022,601022.SS,NINGBO OCEAN SHIPPING CO LTD,Containers / Feeder,CNY,12141209600.0,10678038528.0,17.765959,,1.7819036,3.33,11.48,7.32,1454037038.0,SHH
A042660,042660.KS,Hanwha Ocean,Shipbuilding,KRW,26591855902720.0,31312448585728.0,,13.402789,,,154800.0,71300.0,306357807.0,KSC
BWO,BWO.OL,BW OFFSHORE LIMITED,Offshore FPSO,NOK,7067413504.0,8519613440.0,,11.773183,0.7253092,9.17,54.0,33.9,181215735.0,OSL
7012,7012.T,KAWASAKI HEAVY INDUSTRIES,Heavy Industry / Shipbuilding,JPY,2124925763584.0,2921241509888.0,18.797312,4.265407,2.2979724,1.64,3766.0,1787.2,873197387.0,JPX
1MZ,1MZ.SI,NamCheong,Offshore Shipbuilding,SGD,417156096.0,543339200.0,3.586207,6.3326354,1.3355324,,1.65,0.66,401111651.0,SES
7013,7013.T,IHI CORPORATION,Heavy Industry / Shipbuilding,JPY,2782394843136.0,3176655224832.0,17.270992,4.5378313,3.994223,0.88,4698.0,2171.4285,1060161928.0,JPX
ALNG,ALNG.OL,ALNG ASA,LNG Gas,NOK,733497728.0,869073728.0,,-16.502968,0.55721146,,5.75,2.515,218954555.0,OSL
7003,7003.T,MITSUI E&S CO LTD,Marine Engines / Cranes,JPY,432634953728.0,479559155712.0,11.248721,32.501896,1.9319836,1.4,8438.0,3751.0,100917879.0,JPX
2020,2020.OL,2020 BULKERS,Newcastlemax Dry Bulk,NOK,82774352.0,77774344.0,0.04888202,2.6752615,1.678396,283.4,152.0,2.56,20139743.0,OSL
AGAS,AGAS.OL,Avance Gas Holding Ltd,VLGC Gas,ERROR,,,,,,,,,,
SCOIN,SDSD.OL,S.D. STANDARD ETC PLC,Offshore / Tech,NOK,936201984.0,811338176.0,19.833332,89.25,0.8252234,,1.995,1.775,524482901.0,OSL
AMSC,AMSC.OL,AMSC ASA,Jones Act Tankers / Offshore,ERROR,,,,,,,,,,
DOF,DOFG.OL,DOF GROUP ASA,Offshore Support,NOK,32705806336.0,34080804864.0,7.494357,7.8827295,1.6812483,10.44,143.7,86.4,246278655.0,OSL
FMG,FMG.AX,FORTESCUE FPO [FMG],Mining / Iron Ore,AUD,53019774976.0,53777096704.0,13.246154,15.703294,1.8802047,6.27,23.38,16.57,3078964918.0,ASX
GLEN,GLEN.L,GLENCORE PLC ORD USD0.01,Mining & Trading / Coal & Freight,GBp,70620151808.0,107705147392.0,18.233334,13.832577,2.287374,2.09,707.2,284.0,11736771000.0,LSE
AAL,AAL.L,ANGLO AMERICAN PLC ORD USD0.623,Mining / Iron Ore & Met Coal,GBp,44638191616.0,59298521088.0,,23.90583,3.5090227,0.69,4321.0,2264.107,1071487947.0,LSE
S32,S32.AX,SOUTH32 FPO [S32],"Mining / Manganese, Alumina & Coal",AUD,23258601472.0,22989600768.0,15.727272,17.760988,1.7221974,2.51,5.32,2.52,4481425781.0,ASX
WHC,WHC.AX,WHITEHAVEN FPO [WHC],Mining / Coal Exporter,AUD,6899296768.0,8443296256.0,17.479168,15.462303,1.1695011,1.43,9.9,5.94,822323769.0,ASX
YAL,YAL.AX,YANCOAL FPO [YAL],Mining / Coal Exporter,AUD,8094294016.0,6062293504.0,18.575758,6.0693073,0.8963299,3.13,9.06,4.76,1320439437.0,ASX
