contract,expiry_month,expiry_year,date,price,volume,open_interest,expiry_date
LPFF27,Jan 2027,2027,2026-09-07,0.1725,0.0,0.0,2027-01-29
LPFG27,Feb 2027,2027,2026-09-07,0.17,0.0,0.0,2027-02-26
LPFH27,Mar 2027,2027,2026-09-07,0.17,0.0,0.0,2027-03-31
LPFJ27,Apr 2027,2027,2026-09-07,0.1675,0.0,0.0,2027-04-30
LPFK27,May 2027,2027,2026-09-07,0.1675,0.0,0.0,2027-05-31
LPFM27,Jun 2027,2027,2026-09-07,0.1675,0.0,0.0,2027-06-30
LPFN27,Jul 2027,2027,2026-09-07,0.1625,0.0,0.0,2027-07-30
LPFQ27,Aug 2027,2027,2026-09-07,0.1625,0.0,0.0,2027-08-31
LPFU26,Sep 2026,2026,2026-09-07,0.2425,200.0,11766.0,2026-09-30
LPFU27,Sep 2027,2027,2026-09-07,0.1625,0.0,0.0,2027-09-30
LPFV26,Oct 2026,2026,2026-09-07,0.21,1150.0,13443.0,2026-10-30
LPFV27,Oct 2027,2027,2026-09-07,0.1575,0.0,0.0,2027-10-29
LPFX26,Nov 2026,2026,2026-09-07,0.1885,400.0,4660.0,2026-11-30
LPFX27,Nov 2027,2027,2026-09-07,0.1575,0.0,0.0,2027-11-30
LPFZ26,Dec 2026,2026,2026-09-07,0.1725,0.0,0.0,2026-12-31
LPFZ27,Dec 2027,2027,2026-09-07,0.1575,0.0,0.0,2027-12-31
