date,CLCI,CLDBI,CLLG,CLMFI,CLMI,CLMLP,CLTI
2005-01-03,4233.0,2261.0,376.19,1908.22,3286.97,,3204.85
2005-01-04,4166.0,2190.0,352.38,1790.55,3236.19,,3150.91
2005-01-05,4191.0,2165.0,360.95,1848.13,3287.07,,3205.24
2005-01-06,4280.0,2260.0,368.43,1876.43,3383.93,,3303.49
2005-01-07,4239.0,2222.4,376.19,1847.99,3316.36,,3233.31
2005-01-10,4233.5,2065.0,381.9,1859.33,3366.56,,3292.87
2005-01-11,4274.0,1985.0,372.38,1881.74,3369.66,,3292.98
2005-01-12,4273.0,2075.0,361.9,1877.73,3408.82,,3334.22
2005-01-13,4285.0,2330.0,361.9,1955.94,3466.78,,3396.43
2005-01-14,4347.0,2489.0,360.95,2032.24,3547.8,,3481.75
2005-01-18,4397.0,2414.0,357.14,2006.14,3509.92,,3436.3
2005-01-19,4367.0,2331.0,338.1,1962.07,3491.99,,3418.12
2005-01-20,4357.0,2265.0,367.62,1928.03,3411.48,,3328.42
2005-01-21,4348.0,2301.0,360.76,1945.69,3417.97,,3334.24
2005-01-24,4378.0,2226.0,364.76,1912.39,3366.23,,3273.81
2005-01-25,4424.0,2129.0,380.95,1942.57,3387.61,,3291.29
2005-01-26,4489.0,2255.0,399.05,1970.86,3460.51,,3363.11
2005-01-27,4694.0,2527.0,413.33,2033.51,3590.91,,3484.43
2005-01-28,4581.0,2500.0,404.76,2104.06,3600.36,,3509.63
2005-01-31,4600.0,2700.0,415.24,2203.95,3699.56,,3619.9
2005-02-01,4637.0,2760.0,433.33,2321.63,3772.68,,3701.21
2005-02-02,4598.0,2710.0,434.29,2268.36,3853.86,,3800.01
2005-02-03,4632.0,2707.0,420.0,2244.28,3884.93,,3833.04
2005-02-04,4650.0,2274.73,447.62,2211.32,3766.84,,3752.9
2005-02-07,4545.0,2219.37,447.62,2186.09,3736.83,,3733.3
2005-02-08,4558.0,2189.73,440.0,2166.31,3714.88,,3708.12
2005-02-09,4465.0,2119.04,446.67,2211.01,3718.18,,3724.61
2005-02-10,4453.0,2158.67,470.48,2227.07,3812.19,,3832.26
2005-02-11,4502.0,1804.89,466.67,2242.55,3781.08,,3835.77
2005-02-14,4506.0,1776.89,480.0,2246.77,3837.26,,3900.78
2005-02-15,4467.0,1817.41,519.05,2223.91,3845.96,,3910.26
2005-02-16,4458.0,1808.99,504.76,2245.9,3859.55,,3930.93
2005-02-17,4437.0,1819.5,561.9,2181.92,3790.24,,3849.28
2005-02-18,4446.0,1840.21,545.71,2156.39,3804.38,,3866.85
2005-02-22,4324.0,1823.05,521.9,2157.37,3765.51,,3835.61
2005-02-23,4372.0,1871.97,503.81,2224.23,3853.91,,3931.14
2005-02-24,4399.0,1991.57,531.43,2198.63,3954.3,,4038.1
2005-02-25,4569.0,2028.06,704.76,2197.85,4098.74,,4191.6
2005-02-28,4540.0,1994.62,752.38,2166.64,4137.68,,4240.95
2005-03-01,4561.0,1987.69,746.67,2113.31,3996.8,,4074.06
2005-03-02,4534.0,1957.42,752.38,2109.25,4000.38,,4087.16
2005-03-03,4489.0,1935.06,733.33,2037.81,3906.19,,3982.97
2005-03-04,4530.0,2004.18,796.19,2109.28,3972.23,,4053.45
2005-03-07,4515.0,2019.69,770.48,2035.83,3900.23,,3972.17
2005-03-08,4443.0,1857.09,746.67,1987.98,3791.04,,3862.49
2005-03-09,4380.0,1822.83,755.24,2015.86,3794.33,,3867.18
2005-03-10,4349.0,1724.43,708.57,2037.47,3672.69,,3734.98
2005-03-11,4335.0,1760.22,693.33,2012.06,3754.91,,3826.61
2005-03-14,4378.0,1768.25,695.24,2055.78,3836.83,,3922.51
2005-03-15,4294.0,1760.08,709.52,2096.75,3835.52,,3926.1
2005-03-16,4272.0,1725.37,719.05,2110.35,3830.83,,3925.71
2005-03-17,4276.0,1755.09,712.38,2126.98,3936.42,,4045.16
2005-03-18,4231.0,1747.36,850.48,2112.77,3896.55,,4001.79
2005-03-21,4245.0,1746.85,800.0,2128.91,3829.72,,4002.2
2005-03-22,4227.0,1762.32,802.86,2102.42,3806.52,,3974.46
2005-03-23,4193.0,1744.49,738.1,2031.26,3710.42,,3868.21
2005-03-24,4176.0,1732.96,766.67,2073.73,3741.82,,3910.52
2005-03-28,4201.0,1701.34,726.67,2043.85,3715.05,,3876.41
2005-03-29,4117.0,1564.94,706.67,1984.16,3602.75,,3760.19
2005-03-30,4144.0,1619.01,728.57,1990.37,3641.11,,3788.68
2005-03-31,4120.0,1637.96,772.38,1996.82,3734.95,,3907.88
2005-04-01,4034.0,1637.08,788.57,1993.96,3765.48,,3950.32
2005-04-04,4089.0,1610.9,817.14,2029.49,3774.63,,3957.36
2005-04-05,4097.0,1609.31,789.52,2025.26,3750.13,,3924.56
2005-04-06,4096.0,1616.87,807.62,2031.04,3823.3,,4011.75
2005-04-07,4112.0,1614.09,851.43,2002.01,3830.7,,4015.68
2005-04-08,4019.0,1597.29,874.29,1983.82,3750.37,,3930.52
2005-04-11,3910.0,1548.41,852.38,1965.54,3723.3,,3916.29
2005-04-12,3895.0,1527.32,821.9,1976.78,3756.91,,3954.92
2005-04-13,3884.0,1514.04,792.38,1957.05,3657.9,,3835.78
2005-04-14,3828.0,1504.35,728.57,1932.77,3541.02,,3722.17
2005-04-15,3764.0,1451.68,738.1,1915.26,3438.74,,3612.87
2005-04-18,3767.0,1435.59,728.57,1916.05,3461.58,,3640.35
2005-04-19,3836.0,1489.01,776.19,1956.68,3597.48,,3787.17
2005-04-20,3782.0,1498.94,770.48,1923.6,3552.13,,3737.4
2005-04-21,3956.0,1516.85,793.33,1959.7,3646.11,,3835.72
2005-04-22,3920.0,1505.2,804.76,1955.88,3625.36,,3812.6
2005-04-25,4011.0,1515.26,811.43,1969.01,3664.15,,3850.06
2005-04-26,4008.0,1495.1,790.48,1977.72,3588.42,,3760.68
2005-04-27,4055.0,1459.67,762.86,1914.04,3532.41,,3693.27
2005-04-28,4007.0,1362.99,722.86,1855.72,3397.95,,3543.55
2005-04-29,4073.0,1353.54,747.62,1848.15,3435.8,,3576.89
2005-05-02,4082.0,1287.69,750.48,1866.05,3490.62,,3646.1
2005-05-03,4050.0,1322.35,739.05,1852.12,3444.62,,3579.56
2005-05-04,4204.0,1365.58,738.1,1875.94,3498.97,,3632.21
2005-05-05,4218.0,1427.41,731.43,1912.16,3564.29,,3704.29
2005-05-06,4246.0,1448.37,2393.09,1948.85,3561.65,2551.0,3741.63
2005-05-09,4230.0,1478.19,2456.0,1931.83,3572.62,2615.0,3751.86
2005-05-10,4124.0,1505.49,2414.01,1914.9,3546.41,2565.0,3734.12
2005-05-11,4182.0,1457.39,2422.65,1921.66,3538.14,2573.0,3727.14
2005-05-12,4138.0,1400.97,2412.64,1886.27,3417.81,2555.0,3580.99
2005-05-13,4060.0,1370.38,2385.67,1874.27,3377.41,2550.0,3542.94
2005-05-16,4184.0,1369.81,2385.07,1849.83,3405.07,2550.0,3564.97
2005-05-17,4229.0,1400.31,2461.99,1881.56,3458.42,2635.0,3616.49
2005-05-18,4287.0,1413.62,2448.17,1865.37,3458.97,2610.0,3612.67
