Date,Index,% Change
13-03-2026,1733.0,
16-03-2026,1755.0,1.27
17-03-2026,1798.0,2.45
18-03-2026,1782.0,-0.89
19-03-2026,1767.0,-0.84
07-04-2026,1881.0,6.45
08-04-2026,1868.0,-0.69
09-04-2026,1874.0,0.32
10-04-2026,1884.0,0.53
13-04-2026,1900.0,0.85
14-04-2026,1908.0,0.42
15-04-2026,1910.0,0.10
16-04-2026,1878.0,-1.68
17-04-2026,1898.0,1.06
20-04-2026,1875.0,-1.21
21-04-2026,1853.0,-1.17
22-04-2026,1874.0,1.13
23-04-2026,1911.0,1.97
24-04-2026,1935.0,1.26
27-04-2026,1947.0,0.62
28-04-2026,1927.0,-1.03
29-04-2026,1918.0,-0.47
