Date,Index,% Change
06-10-2008,"2,276",
07-10-2008,"2,127",-6.55%
08-10-2008,"1,987",-6.58%
09-10-2008,"1,844",-7.20%
10-10-2008,"1,641",-11.01%
13-10-2008,"1,463",-10.85%
14-10-2008,"1,355",-7.38%
15-10-2008,"1,294",-4.50%
16-10-2008,"1,254",-3.09%
17-10-2008,"1,206",-3.83%
20-10-2008,"1,144",-5.14%
21-10-2008,"1,079",-5.68%
22-10-2008,975,-9.64%
23-10-2008,881,-9.64%
24-10-2008,817,-7.26%
27-10-2008,768,-6.00%
28-10-2008,701,-8.72%
29-10-2008,655,-6.56%
30-10-2008,617,-5.80%
31-10-2008,583,-5.51%
03-11-2008,559,-4.12%
04-11-2008,531,-5.01%
05-11-2008,512,-3.58%
06-11-2008,521,1.76%
07-11-2008,530,1.73%
10-11-2008,531,0.19%
11-11-2008,534,0.56%
12-11-2008,536,0.37%
13-11-2008,543,1.31%
14-11-2008,556,2.39%
17-11-2008,571,2.70%
18-11-2008,589,3.15%
19-11-2008,606,2.89%
20-11-2008,623,2.81%
21-11-2008,634,1.77%
24-11-2008,640,0.95%
25-11-2008,641,0.16%
26-11-2008,637,-0.62%
27-11-2008,632,-0.78%
28-11-2008,622,-1.58%
01-12-2008,610,-1.93%
02-12-2008,597,-2.13%
03-12-2008,579,-3.02%
04-12-2008,564,-2.59%
05-12-2008,548,-2.84%
08-12-2008,533,-2.74%
09-12-2008,523,-1.88%
10-12-2008,511,-2.29%
11-12-2008,498,-2.54%
12-12-2008,490,-1.61%
15-12-2008,486,-0.82%
16-12-2008,481,-1.03%
17-12-2008,476,-1.04%
18-12-2008,464,-2.52%
19-12-2008,454,-2.16%
22-12-2008,442,-2.64%
23-12-2008,430,-2.71%
24-12-2008,421,-2.09%
02-01-2009,411,-2.38%
05-01-2009,403,-1.95%
06-01-2009,395,-1.99%
07-01-2009,390,-1.27%
08-01-2009,389,-0.26%
09-01-2009,394,1.29%
12-01-2009,397,0.76%
13-01-2009,402,1.26%
14-01-2009,409,1.74%
15-01-2009,413,0.98%
16-01-2009,418,1.21%
19-01-2009,424,1.44%
20-01-2009,427,0.71%
21-01-2009,432,1.17%
22-01-2009,436,0.93%
23-01-2009,443,1.61%
26-01-2009,446,0.68%
27-01-2009,460,3.14%
28-01-2009,473,2.83%
29-01-2009,488,3.17%
30-01-2009,512,4.92%
02-02-2009,533,4.10%
03-02-2009,556,4.32%
04-02-2009,681,22.48%
05-02-2009,783,14.98%
06-02-2009,854,9.07%
09-02-2009,948,11.01%
10-02-2009,"1,025",8.12%
11-02-2009,"1,089",6.24%
12-02-2009,"1,148",5.42%
13-02-2009,"1,190",3.66%
16-02-2009,"1,209",1.60%
17-02-2009,"1,213",0.33%
18-02-2009,"1,231",1.48%
19-02-2009,"1,271",3.25%
20-02-2009,"1,300",2.28%
23-02-2009,"1,325",1.92%
24-02-2009,"1,347",1.66%
25-02-2009,"1,385",2.82%
26-02-2009,"1,474",6.43%
27-02-2009,"1,529",3.73%
02-03-2009,"1,569",2.62%
03-03-2009,"1,585",1.02%
04-03-2009,"1,603",1.14%
05-03-2009,"1,653",3.12%
06-03-2009,"1,688",2.12%
09-03-2009,"1,713",1.48%
10-03-2009,"1,728",0.88%
11-03-2009,"1,735",0.41%
12-03-2009,"1,727",-0.46%
13-03-2009,"1,710",-0.98%
16-03-2009,"1,694",-0.94%
17-03-2009,"1,673",-1.24%
18-03-2009,"1,632",-2.45%
19-03-2009,"1,583",-3.00%
20-03-2009,"1,541",-2.65%
23-03-2009,"1,493",-3.11%
24-03-2009,"1,437",-3.75%
25-03-2009,"1,398",-2.71%
26-03-2009,"1,365",-2.36%
27-03-2009,"1,338",-1.98%
30-03-2009,"1,313",-1.87%
31-03-2009,"1,288",-1.90%
01-04-2009,"1,268",-1.55%
02-04-2009,"1,250",-1.42%
03-04-2009,"1,236",-1.12%
06-04-2009,"1,220",-1.29%
07-04-2009,"1,183",-3.03%
08-04-2009,"1,159",-2.03%
09-04-2009,"1,153",-0.52%
14-04-2009,"1,158",0.43%
15-04-2009,"1,165",0.60%
16-04-2009,"1,203",3.26%
17-04-2009,"1,241",3.16%
20-04-2009,"1,279",3.06%
